Program,Year,Period,Region,Commodity,Data Item,Domain Category,Value,MOA
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)",0.75,9
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (LINURON = 35506)",96000,7
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (LINURON = 35506)",0.66,7
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",41327000,15
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)",1.87,15
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",140000,2
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)",0.03,2
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",423000,22
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",0.53,22
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",3091000,3
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",1.14,3
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",30000,2
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (PRIMISULFURON = 128973)",0.03,2
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (PROPACHLOR = 19101)",1506000,15
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (PROPACHLOR = 19101)",2.6,15
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (SIMAZINE = 80807)",1147000,5
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (SIMAZINE = 80807)",1.12,5
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (TRIDIPHANE = 123901)",123000,NA
SURVEY,1992,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (TRIDIPHANE = 123901)",0.54,NA
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (2,4-D = 30001)",3586000,4
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (2,4-D = 30001)",0.42,4
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (ALACHLOR = 90501)",32078000,15
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (ALACHLOR = 90501)",2.01,15
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (ATRAZINE = 80803)",49553000,5
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (ATRAZINE = 80803)",1.02,5
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (BENTAZON = 103901)",497000,6
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (BENTAZON = 103901)",0.52,6
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE: (BROMOXYNIL = 35301)",1364000,6
SURVEY,1993,YEAR,PROGRAM STATES,CORN,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE: (BROMOXYNIL = 35301)",0.26,6
